# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-03-08T11:13:00   112406  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      69.8  197.619433  32.345495  298.4  52.1  0 0
2024-03-08T11:15:41   112407  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  299.7  48.8  0 0
2024-03-08T11:16:44   112408  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     302.3  194.622184  33.744572  299.7  48.6  0 0
2024-03-08T11:23:09   112409  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.9  194.622184  33.744572  299.4  47.3  0 0
2024-03-08T11:29:42   112410  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.4  194.622184  33.744572  299.1  45.9  0 0
2024-03-08T11:36:43   112411  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  298.9  44.5  0 0
2024-03-08T11:37:51   112412  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.1  194.622184  33.744572  298.8  44.2  0 0
2024-03-08T11:44:36   112413  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.6  194.622184  33.744572  298.6  42.8  0 0
2024-03-08T11:51:16   112414  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.5  194.622184  33.744572  298.5  41.5  0 0
2024-03-08T11:58:15   112415  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  298.4  40.0  0 0
2024-03-08T11:59:36   112416  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.5  194.622184  33.744572  298.4  39.7  0 0
2024-03-08T12:06:24   112417  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.7  194.622184  33.744572  298.3  38.3  0 0
2024-03-08T12:13:17   112418  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.0  194.622184  33.744572  298.3  36.9  0 0
2024-03-10T10:57:33   112653  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      70.7  197.619433  32.345495  298.9  53.7  0 0
2024-03-10T11:00:29   112654  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      71.4  197.619433  32.345495  298.7  53.1  0 0
2024-03-10T11:03:21   112655  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  300.0  49.8  0 0
2024-03-10T11:04:27   112656  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.6  194.622184  33.744572  299.9  49.5  0 0
2024-03-10T11:10:58   112657  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.2  194.622184  33.744572  299.6  48.2  0 0
2024-03-10T11:17:24   112658  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.2  194.622184  33.744572  299.3  46.9  0 0
2024-03-10T11:24:04   112659  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  299.0  45.5  0 0
2024-03-10T11:25:41   112660  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.6  194.622184  33.744572  299.0  45.1  0 0
2024-03-10T11:32:25   112661  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.2  194.622184  33.744572  298.8  43.7  0 0
2024-03-10T11:39:05   112662  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.4  194.622184  33.744572  298.6  42.4  0 0
2024-03-10T11:47:43   112663  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      69.6  197.619433  32.345495  296.8  43.2  0 0
2024-03-10T11:50:29   112664  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      68.7  197.619433  32.345495  296.7  42.6  0 0
2024-03-10T11:54:06   112665  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  298.3  39.2  0 0
2024-03-10T11:55:39   112666  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.2  194.622184  33.744572  298.3  38.9  0 0
2024-03-10T12:02:27   112667  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.5  194.622184  33.744572  298.3  37.5  0 0
2024-03-10T12:09:18   112668  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.5  194.622184  33.744572  298.3  36.1  0 0
2024-03-10T12:16:17   112669  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  298.3  34.6  0 0
2024-03-10T12:17:47   112670  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.1  194.622184  33.744572  298.3  34.3  0 0
2024-03-10T12:24:23   112671  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.6  194.622184  33.744572  298.3  32.9  0 0
2024-03-10T12:31:03   112672  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.5  194.622184  33.744572  298.4  31.5  0 0
2024-03-10T12:39:50   112673  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      70.2  197.619433  32.345495  296.7  32.1  0 0
2024-03-10T12:42:39   112674  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      69.2  197.619433  32.345495  296.8  31.5  0 0
2024-03-10T12:46:00   112675  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      70.6  197.619433  32.345495  296.8  30.8  0 0
2024-03-16T09:31:09   113210  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      68.6  197.619433  32.345495  308.1  66.2  0 0
2024-03-16T09:34:47   113211  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  307.5  62.7  0 0
2024-03-16T09:35:50   113212  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.0  194.622184  33.744572  307.3  62.5  0 0
2024-03-16T09:42:14   113213  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.2  194.622184  33.744572  306.2  61.2  0 0
2024-03-16T09:48:38   113214  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.3  194.622184  33.744572  305.1  60.0  0 0
2024-03-16T09:55:44   113215  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  304.1  58.6  0 0
2024-03-16T09:57:15   113216  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     301.4  194.622184  33.744572  303.9  58.3  0 0
2024-03-16T10:03:50   113217  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.4  194.622184  33.744572  303.0  57.0  0 0
2024-03-16T10:10:21   113218  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.1  194.622184  33.744572  302.3  55.7  0 0
2024-03-16T10:17:35   113219  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  301.6  54.3  0 0
2024-03-16T10:19:10   113220  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.0  194.622184  33.744572  301.5  54.0  0 0
2024-03-16T10:25:33   113221  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.5  194.622184  33.744572  300.9  52.7  0 0
2024-03-16T10:31:56   113222  RSR        Science      Bs          HATLAS_RED_1529           2024-S1-MX-22                       0.0     0     300.2  194.622184  33.744572  300.5  51.4  0 0
2024-03-19T11:01:28   113579  RSR        Pointing     Map(Az)     1310+323                  2024-S1-MX-22                       0.0     0      69.0  197.619433  32.345495  297.0  45.4  0 0
2024-03-19T11:04:52   113580  RSR        Calibration  Cal         HATLAS_RED_1529           2024-S1-MX-22                       0.0     0      12.0  194.622184  33.744572  298.6  42.1  0 0
